gene_name number_of_transposon_per_gene number_of_read_per_gene
MNN10 5 400
TRS23 4 31
YDR246W-A 29 2295
VHS1 30 1193
YDR248C 22 555
YDR249C 21 856
YDR250C 28 1752
PAM1 38 926
BTT1 6 50
MET32 10 188
CHL4 6 67
RMD5 6 32
CTA1 57 2892
RKM4 9 348
HSP78 38 1486
YAP6 51 2119
SWM1 39 1718
EXG2 44 1696
YDR262W 10 98
DIN7 30 1239
AKR1 11 31
PEX10 9 308
HEL2 25 782
CIA1 5 4
MSW1 3 2
YDR269C 5 58
CCC2 50 1574
YDR271C 19 867
GLO2 7 155
DON1 29 885
YDR274C 70 6251
BSC2 7 130
PMP3 2 8
MTH1 30 935
YDR278C 10 225
RNH202 20 677
RRP45 2 1
PHM6 3 20
YDR282C 22 644
GCN2 13 44
DPP1 21 484
ZIP1 31 783
YDR286C 3 14
INM2 15 317
NSE3 2 2
RTT103 5 71
YDR290W 14 208
HRQ1 79 4533
SRP101 2 1
SSD1 49 1248
DPL1 25 361
HDA2 18 920
MHR1 3 7
SUR2 3 14
ATP5 0 0
BFR2 1 0
PRO1 1 0
CFT1 4 3
GPI11 1 0
RSC3 2 3
CPR5 10 391
HNT2 17 749
YDR306C 22 927
PMT7 24 887
SRB7 1 0
GIC2 15 295
SUM1 11 46
TFB1 4 16
SSF2 13 111
PIB1 17 683
RAD34 30 1208
IPK1 2 1
OMS1 12 242
HIM1 4 13
MCM21 5 30
YFT2 18 329
SWA2 13 61
DAD4 2 1
YDR320W-B 20 672
ASP1 12 179
MRPL35 1 0
TIM11 3 26
PEP7 15 453
UTP4 5 29
YCG1 11 18
YSP2 46 1489
YDR327W 4 3
SKP1 2 1
PEX3 8 133
UBX5 20 363
GPI8 4 3
IRC3 8 18
RQC1 26 1318
SWR1 19 180
MSN5 16 131
YDR336W 15 288
MRPS28 2 1
YDR338C 49 2153
FCF1 0 0
YDR340W 15 363
YDR341C 1 0
HXT7 3 5
HXT6 3 3
YDR344C 25 902
HXT3 31 1330
SVF1 27 1605
MRP1 2 4
PAL1 44 1496
YPS7 29 802
ATP22 1 0
SBE2 23 773
YPQ2 10 221
TRR1 0 0
TRP4 9 195
YDR354C-A 2 2
YDR355C 0 0
SPC110 3 2
CNL1 22 483
GGA1 19 276
EAF1 19 271
OPI7 2 2
BCP1 3 2
TFC6 2 1
ESC2 14 175
SEM1 1 0
CDC40 3 2
ESF1 4 6
YDR366C 11 35
KEI1 5 9
YPR1 8 49
XRS2 28 1110
DXO1 22 764
CTS2 23 736
YDR371C-A 1 0
VPS74 2 1
FRQ1 0 0
PHO92 19 312
WIP1 0 0
BCS1 3 6
ARH1 4 10
ATP17 1 0
LSM6 0 0
RGA2 44 1579
SDH6 6 95
ARO10 37 883
YRA1 4 3
YDR381C-A 0 0
RPP2B 3 28
NKP1 19 177
ATO3 27 1077
EFT2 5 10
MUS81 18 940
YDR387C 14 94
RVS167 17 532
SAC7 22 773
UBA2 7 44
YDR391C 10 397
SPT3 8 460
SHE9 24 714
RPT3 1 0
SXM1 10 122
YDR396W 4 5
